state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
PA,129,415,no,yes,7,167.3,96,28.44,197.1,120,16.75,190.3,139,8.56,11.7,4,3.16,1,no
KS,30,408,no,no,0,201.3,75,34.22,211.8,92,18.0,220.6,106,9.93,9.3,4,2.51,0,no
CA,107,408,no,no,0,176.7,99,30.04,172.9,79,14.7,187.9,84,8.46,10.0,1,2.7,2,no
HI,78,510,no,no,0,109.9,111,18.68,158.6,94,13.48,198.5,99,8.93,8.6,5,2.32,3,no
SC,124,408,yes,no,0,130.4,96,22.17,229.0,111,19.46,159.5,107,7.18,11.7,4,3.16,1,no
WY,115,510,no,yes,5,144.9,112,24.63,170.6,102,14.5,214.5,126,9.65,10.2,5,2.75,1,no
PA,130,415,yes,no,0,241.4,124,41.04,159.9,128,13.59,179.7,54,8.09,6.5,3,1.76,2,yes
MA,136,510,no,no,0,137.8,44,23.43,219.8,118,18.68,144.2,99,6.49,8.5,4,2.29,2,no
MT,58,510,no,no,0,127.8,141,21.73,211.6,83,17.99,228.6,76,10.29,6.7,7,1.81,2,no
IL,89,408,no,yes,7,217.4,104,36.96,225.2,91,19.14,160.2,69,7.21,13.2,4,3.56,1,no
CO,23,415,yes,no,0,205.1,101,34.87,287.2,96,24.41,210.6,99,9.48,6.5,6,1.76,3,yes
IN,139,415,no,yes,7,243.9,73,41.46,200.6,91,17.05,177.6,100,7.99,12.7,4,3.43,2,no
HI,60,408,no,yes,11,214.7,99,36.5,243.1,78,20.66,88.8,105,4.0,10.9,4,2.94,3,yes
MA,173,408,yes,no,0,175.2,124,29.78,210.6,111,17.9,183.3,96,8.25,7.5,3,2.03,0,no
ID,138,408,no,no,0,253.5,109,43.1,196.2,95,16.68,219.2,104,9.86,5.1,4,1.38,2,yes
AZ,110,415,no,yes,6,134.4,101,22.85,211.1,86,17.94,238.1,91,10.71,8.1,5,2.19,2,no
IL,78,408,yes,no,0,205.5,102,34.94,161.4,64,13.72,164.1,104,7.38,10.3,3,2.78,3,yes
MN,132,408,no,no,0,206.2,111,35.05,154.1,116,13.1,176.3,108,7.93,7.2,1,1.94,0,no
LA,95,408,yes,no,0,148.5,96,25.25,259.2,100,22.03,208.1,74,9.36,8.2,2,2.21,2,yes
OK,84,415,yes,no,0,183.1,72,31.13,136.0,116,11.56,193.6,115,8.71,14.6,4,3.94,1,yes
CA,135,510,no,no,0,167.1,92,28.41,164.9,110,14.02,162.6,107,7.32,10.8,2,2.92,3,no
VT,130,510,no,no,0,216.9,89,36.87,122.6,47,10.42,222.3,92,10.0,16.1,5,4.35,3,no
TN,128,408,no,no,0,100.7,85,17.12,195.1,76,16.58,138.8,93,6.25,12.1,9,3.27,1,no
TX,150,415,no,no,0,207.0,101,35.19,245.1,62,20.83,208.7,106,9.39,11.0,3,2.97,2,no
MN,97,415,no,yes,6,219.3,112,37.28,230.3,81,19.58,260.3,136,11.71,7.2,1,1.94,2,no
NY,147,415,no,yes,9,86.1,92,14.64,136.3,101,11.59,248.1,130,11.16,12.9,5,3.48,2,no
TN,51,408,yes,yes,10,235.2,89,39.98,197.8,106,16.81,206.7,114,9.3,8.7,4,2.35,4,yes
AZ,51,510,no,yes,8,198.5,75,33.75,206.6,83,17.56,186.4,80,8.39,15.0,5,4.05,1,no
IL,110,408,no,no,0,146.5,112,24.91,119.8,90,10.18,205.4,93,9.24,4.5,1,1.22,0,no
NM,144,408,yes,no,0,142.0,86,24.14,209.7,109,17.82,193.1,108,8.69,12.6,2,3.4,2,no
KS,86,408,no,no,0,210.9,59,35.85,158.9,80,13.51,230.9,96,10.39,8.1,4,2.19,1,no
NJ,140,510,no,no,0,105.1,95,17.87,119.5,123,10.16,165.6,80,7.45,4.2,4,1.13,2,no
DE,94,415,no,no,0,216.7,76,36.84,227.1,65,19.3,200.7,110,9.03,9.1,3,2.46,0,no
MI,85,415,no,yes,9,67.4,68,11.46,190.3,62,16.18,212.3,104,9.55,10.4,5,2.81,0,no
ME,93,510,no,no,0,158.8,71,27.0,194.5,80,16.53,177.7,114,8.0,12.9,5,3.48,1,no
VT,135,510,no,no,0,148.1,101,25.18,132.0,114,11.22,170.4,92,7.67,9.7,5,2.62,2,no
AR,47,510,no,no,0,284.0,103,48.28,131.4,72,11.17,156.2,105,7.03,4.9,2,1.32,0,no
WA,47,408,no,no,0,144.9,125,24.63,136.2,113,11.58,252.3,116,11.35,11.2,4,3.02,1,no
OR,106,408,yes,no,0,176.8,126,30.06,195.8,62,16.64,324.0,86,14.58,12.9,6,3.48,0,no
NE,102,510,no,no,0,157.7,103,26.81,295.7,86,25.13,191.3,86,8.61,8.3,9,2.24,3,no
NH,10,510,no,yes,10,235.9,82,40.1,205.2,79,17.44,173.7,112,7.82,6.3,5,1.7,0,no
MI,46,408,no,no,0,208.1,87,35.38,225.3,108,19.15,181.2,82,8.15,11.7,4,3.16,0,no
TX,105,510,no,no,0,181.7,84,30.89,182.3,79,15.5,174.2,125,7.84,15.4,6,4.16,2,no
ND,133,408,no,yes,9,181.2,116,30.8,171.0,93,14.54,187.2,107,8.42,12.0,3,3.24,0,no
NV,90,415,no,yes,6,178.2,95,30.29,205.6,109,17.48,233.8,120,10.52,9.3,2,2.51,2,no
LA,164,510,no,yes,9,238.1,121,40.48,212.4,94,18.05,126.0,95,5.67,11.6,1,3.13,0,yes
AL,187,408,no,yes,5,153.3,67,26.06,245.3,86,20.85,247.6,48,11.14,8.8,10,2.38,3,no
VT,119,408,no,no,0,209.1,64,35.55,158.9,110,13.51,222.1,70,9.99,12.6,4,3.4,1,no
SD,57,415,no,no,0,153.2,139,26.04,210.9,142,17.93,195.8,94,8.81,9.8,4,2.65,0,no
DE,106,408,yes,yes,12,202.3,104,34.39,164.9,113,14.02,202.0,78,9.09,13.1,5,3.54,0,no
AL,151,510,no,yes,7,168.2,93,28.59,179.7,85,15.27,203.0,95,9.13,9.2,5,2.48,0,no
OK,106,510,no,yes,11,135.8,145,23.09,209.6,93,17.82,206.6,73,9.3,9.4,9,2.54,2,no
TX,80,510,no,no,0,179.1,68,30.45,202.0,97,17.17,126.7,79,5.7,6.6,3,1.78,3,no
AL,138,510,no,yes,4,143.2,110,24.34,198.6,81,16.88,192.1,70,8.64,13.5,2,3.65,0,no
LA,131,510,no,yes,9,200.2,104,34.03,183.1,88,15.56,165.4,92,7.44,7.4,8,2.0,1,no
DE,134,510,no,no,0,153.7,120,26.13,222.5,108,18.91,180.3,81,8.11,13.0,5,3.51,0,no
NE,148,408,no,no,0,125.6,92,21.35,191.4,84,16.27,220.9,119,9.94,17.4,5,4.7,1,no
CO,100,415,no,no,0,207.6,81,35.29,153.6,151,13.06,267.0,78,12.01,12.1,6,3.27,1,no
SD,161,415,no,no,0,180.0,113,30.6,230.4,142,19.58,214.5,98,9.65,15.7,4,4.24,1,no
NH,58,415,no,no,0,201.5,93,34.26,194.6,89,16.54,199.4,103,8.97,8.4,4,2.27,0,no
ND,72,510,yes,yes,2,183.0,111,31.11,263.8,86,22.42,174.9,100,7.87,14.1,5,3.81,1,no
MI,97,510,yes,no,0,245.5,101,41.74,174.9,119,14.87,192.4,110,8.66,8.6,3,2.32,3,yes
HI,93,408,no,no,0,243.2,55,41.34,209.2,76,17.78,211.2,107,9.5,9.7,4,2.62,2,yes
NV,36,415,no,yes,8,190.8,101,32.44,195.0,129,16.58,155.0,127,6.97,6.6,4,1.78,0,no
SC,63,510,no,no,0,172.9,108,29.39,188.1,138,15.99,235.9,109,10.62,8.7,7,2.35,0,no
LA,77,415,no,no,0,235.6,114,40.05,177.3,96,15.07,181.2,157,8.15,10.8,6,2.92,0,yes
MN,105,408,no,yes,7,140.9,85,23.95,132.7,113,11.28,257.6,111,11.59,4.3,2,1.16,1,no
FL,80,415,no,no,0,122.0,102,20.74,234.0,123,19.89,171.6,99,7.72,9.6,4,2.59,3,no
MT,78,408,no,no,0,257.1,118,43.71,162.7,117,13.83,214.6,103,9.66,13.0,3,3.51,2,no
OK,41,408,no,yes,5,182.6,88,31.04,223.2,94,18.97,198.4,105,8.93,10.9,2,2.94,3,no
PA,139,408,no,no,0,171.1,96,29.09,221.6,94,18.84,240.0,140,10.8,7.3,2,1.97,0,no
MT,55,415,no,no,0,221.2,57,37.6,203.8,108,17.32,151.5,108,6.82,8.6,4,2.32,3,no
NY,93,510,no,yes,4,208.9,120,35.51,197.3,97,16.77,246.5,131,11.09,14.0,2,3.78,1,no
AZ,111,415,no,yes,6,117.8,108,20.03,239.1,63,20.32,197.5,119,8.89,7.7,1,2.08,2,no
MT,9,415,no,no,0,212.3,99,36.09,195.0,96,16.58,193.5,133,8.71,11.4,5,3.08,2,no
OR,128,408,no,no,0,180.2,80,30.63,241.0,111,20.49,270.9,76,12.19,12.6,5,3.4,1,no
NM,132,408,no,no,0,197.2,82,33.52,227.5,75,19.34,170.7,97,7.68,8.3,10,2.24,3,no
MS,117,510,no,no,0,172.2,98,29.27,237.0,105,20.15,222.6,86,10.02,4.2,5,1.13,2,no
VA,87,415,no,no,0,163.6,105,27.81,149.2,77,12.68,239.6,59,10.78,11.8,4,3.19,3,no
WI,48,415,no,no,0,226.0,109,38.42,135.6,76,11.53,190.1,93,8.55,6.4,4,1.73,0,yes
SC,110,415,no,no,0,163.6,107,27.81,215.6,73,18.33,249.6,101,11.23,16.9,2,4.56,1,no
PA,111,415,no,no,0,148.1,78,25.18,156.4,103,13.29,202.9,123,9.13,7.6,3,2.05,1,no
AL,102,415,no,yes,8,188.0,88,31.96,184.9,120,15.72,186.7,91,8.4,13.4,3,3.62,3,no
VA,103,415,no,no,0,139.6,93,23.73,157.0,103,13.35,194.7,122,8.76,7.9,7,2.13,0,no
SD,107,510,no,no,0,124.2,113,21.11,207.4,96,17.63,178.4,93,8.03,10.7,2,2.89,1,no
CA,52,415,no,no,0,188.7,89,32.08,250.1,111,21.26,230.8,89,10.39,12.5,4,3.38,2,no
NE,114,510,no,no,0,188.5,80,32.05,189.0,79,16.07,201.7,88,9.08,5.5,4,1.49,1,yes
CO,133,415,no,yes,7,187.6,84,31.89,192.4,98,16.35,153.1,131,6.89,9.9,3,2.67,2,no
SC,92,408,no,no,0,239.3,84,40.68,173.7,81,14.76,191.6,100,8.62,6.0,4,1.62,2,no
MA,96,408,no,no,0,164.4,74,27.95,187.2,86,15.91,203.0,88,9.13,9.9,5,2.67,1,no
MT,91,510,no,no,0,160.3,141,27.25,155.0,99,13.18,127.8,106,5.75,6.0,5,1.62,0,no
OK,62,510,yes,no,0,215.1,101,36.57,172.3,131,14.65,140.3,97,6.31,7.5,5,2.03,3,yes
LA,54,510,no,no,0,290.4,130,49.37,222.1,101,18.88,192.6,80,8.67,10.2,6,2.75,3,yes
SD,119,510,no,no,0,199.7,125,33.95,260.7,95,22.16,171.9,113,7.74,12.8,3,3.46,0,no
RI,90,415,no,yes,8,212.2,125,36.07,201.5,103,17.13,159.5,114,7.18,11.3,5,3.05,2,no
MS,92,415,no,no,0,201.6,103,34.27,257.3,79,21.87,230.8,100,10.39,12.1,4,3.27,1,no
MN,132,408,no,no,0,179.6,121,30.53,189.0,80,16.07,276.8,66,12.46,8.5,4,2.29,5,no
IN,92,408,no,yes,10,165.8,81,28.19,182.4,76,15.5,198.1,121,8.91,12.2,4,3.29,3,no
KS,139,510,no,no,0,197.5,98,33.58,199.4,88,16.95,200.8,94,9.04,9.8,2,2.65,0,no
MA,82,408,yes,no,0,185.2,100,31.48,226.8,118,19.28,188.6,67,8.49,6.9,3,1.86,2,yes
VA,135,510,no,yes,8,198.0,117,33.66,185.6,127,15.78,176.6,94,7.95,6.3,1,1.7,2,no
WV,36,510,no,yes,4,230.3,133,39.15,249.1,100,21.17,245.3,81,11.04,8.9,6,2.4,3,no
KS,62,408,yes,no,0,218.1,84,37.08,244.4,99,20.77,130.1,114,5.85,12.4,2,3.35,2,no
MA,92,510,no,no,0,207.1,86,35.21,236.2,101,20.08,182.4,106,8.21,9.8,5,2.65,1,yes
OR,142,510,no,no,0,152.8,120,25.98,227.7,134,19.35,183.6,74,8.26,8.5,8,2.29,5,no
WY,66,415,no,yes,9,206.3,82,35.07,202.4,125,17.2,161.4,67,7.26,8.1,6,2.19,3,no
ID,43,408,no,yes,8,95.8,79,16.29,170.9,87,14.53,218.5,140,9.83,8.8,11,2.38,3,no
WY,1,415,no,no,0,132.2,119,22.47,181.5,122,15.43,271.6,95,12.22,8.1,2,2.19,0,no
CA,60,510,no,no,0,180.1,81,30.62,177.5,81,15.09,191.6,101,8.62,9.4,4,2.54,0,no
FL,58,408,no,yes,6,92.7,112,15.76,219.0,119,18.62,151.5,89,6.82,17.2,4,4.64,3,no
NM,100,408,no,no,0,187.4,66,31.86,180.8,121,15.37,197.7,77,8.9,7.9,1,2.13,1,no
NE,149,510,no,no,0,154.1,51,26.2,225.3,101,19.15,210.9,101,9.49,13.5,1,3.65,3,no
ME,71,510,no,yes,4,193.9,85,32.96,160.4,72,13.63,203.2,92,9.14,11.1,3,3.0,3,no
NE,29,408,no,no,0,134.7,98,22.9,194.1,96,16.5,210.1,66,9.45,12.1,2,3.27,1,no
SC,118,415,no,yes,9,165.8,105,28.19,135.7,58,11.53,185.0,133,8.32,9.4,7,2.54,1,no
OR,36,510,no,no,0,176.8,111,30.06,264.0,101,22.44,254.4,116,11.45,12.6,9,3.4,1,no
AK,123,408,yes,no,0,209.8,112,35.67,196.5,99,16.7,227.2,115,10.22,13.5,4,3.65,3,no
IN,92,408,no,no,0,148.5,112,25.25,278.3,94,23.66,189.6,99,8.53,10.8,2,2.92,1,no
HI,112,415,no,yes,9,216.3,108,36.77,184.5,98,15.68,159.1,97,7.16,15.0,6,4.05,4,no
SD,122,510,yes,no,0,263.0,92,44.71,193.9,88,16.48,164.5,87,7.4,6.3,2,1.7,2,yes
AR,110,510,no,no,0,126.1,133,21.44,188.3,112,16.01,174.4,70,7.85,13.5,3,3.65,1,no
VA,71,510,no,no,0,137.5,85,23.38,195.3,119,16.6,235.4,115,10.59,4.2,4,1.13,3,no
WV,73,408,yes,yes,12,246.7,106,41.94,196.4,101,16.69,220.8,83,9.94,16.3,6,4.4,1,yes
NY,34,510,no,no,0,121.8,132,20.71,176.8,41,15.03,179.5,68,8.08,10.2,2,2.75,3,no
LA,113,415,no,no,0,184.4,56,31.35,216.0,103,18.36,185.7,97,8.36,9.8,2,2.65,0,no
AK,82,408,no,no,0,105.3,65,17.9,182.8,91,15.54,247.6,76,11.14,10.5,6,2.83,0,no
DE,145,415,yes,no,0,235.9,91,40.1,223.6,98,19.01,230.8,99,10.39,7.5,4,2.03,0,no
MA,99,408,no,yes,8,129.6,83,22.03,186.2,114,15.83,159.9,90,7.2,11.8,1,3.19,3,no
NC,89,415,yes,yes,7,207.8,123,35.33,250.7,115,21.31,236.6,85,10.65,7.1,6,1.92,1,no
IA,109,408,no,no,0,144.0,124,24.48,149.8,109,12.73,164.8,83,7.42,11.6,1,3.13,1,no
AR,69,408,no,no,0,167.6,100,28.49,168.3,121,14.31,177.4,97,7.98,13.2,2,3.56,2,no
NV,128,408,no,yes,5,158.0,107,26.86,160.8,135,13.67,195.7,46,8.81,11.1,2,3.0,3,no
HI,78,408,no,no,0,232.3,128,39.49,171.3,130,14.56,256.6,105,11.55,7.2,3,1.94,1,no
TX,155,408,no,no,0,210.5,112,35.79,245.5,109,20.87,188.0,118,8.46,12.6,7,3.4,4,no
ID,123,415,yes,no,0,232.3,64,39.49,211.9,112,18.01,139.9,148,6.3,8.1,9,2.19,3,no
WV,5,415,yes,no,0,153.8,116,26.15,190.7,83,16.21,215.4,118,9.69,10.6,4,2.86,4,no
WA,104,510,no,yes,9,246.3,107,41.87,158.2,93,13.45,266.9,98,12.01,7.2,4,1.94,3,no
NC,55,408,no,no,0,249.3,96,42.38,181.8,103,15.45,217.6,122,9.79,14.3,3,3.86,1,yes
OK,141,415,no,no,0,220.0,83,37.4,213.7,99,18.16,197.7,126,8.9,9.3,2,2.51,1,no
NY,159,510,yes,no,0,147.9,96,25.14,210.0,80,17.85,185.5,102,8.35,10.1,4,2.73,4,no
KS,34,510,no,no,0,162.1,75,27.56,215.1,113,18.28,232.5,93,10.46,14.1,4,3.81,3,no
NM,38,408,no,yes,9,166.3,123,28.27,183.2,94,15.57,274.0,85,12.33,7.2,4,1.94,1,no
MI,140,408,no,yes,5,195.2,94,33.18,184.8,116,15.71,169.9,129,7.65,11.2,2,3.02,3,no
AR,101,510,no,no,0,122.9,76,20.89,240.9,105,20.48,187.7,91,8.45,12.1,2,3.27,2,no
UT,116,510,no,no,0,201.8,110,34.31,230.0,81,19.55,206.7,120,9.3,13.3,5,3.59,0,no
NE,42,415,no,no,0,256.6,117,43.62,151.5,130,12.88,202.1,94,9.09,8.3,2,2.24,2,no
VT,114,510,no,yes,7,147.5,129,25.08,181.4,91,15.42,207.1,99,9.32,12.9,5,3.48,2,no
AZ,70,415,no,no,0,157.4,89,26.76,268.7,89,22.84,186.4,132,8.39,11.7,3,3.16,2,no
WA,91,408,yes,no,0,151.0,76,25.67,217.8,90,18.51,172.8,88,7.78,8.9,2,2.4,0,no
DE,132,408,yes,no,0,198.3,102,33.71,179.5,105,15.26,247.8,103,11.15,8.8,2,2.38,0,no
TX,122,510,no,no,0,197.3,97,33.54,178.4,85,15.16,261.0,145,11.74,13.2,2,3.56,0,no
NV,113,510,no,no,0,220.3,95,37.45,175.1,67,14.88,212.7,97,9.57,8.7,6,2.35,1,no
RI,129,415,yes,no,0,210.4,89,35.77,234.3,84,19.92,169.5,133,7.63,10.1,4,2.73,5,yes
NJ,115,408,no,no,0,147.7,129,25.11,152.8,88,12.99,196.7,109,8.85,15.4,3,4.16,1,no
AK,102,415,no,no,0,245.4,90,41.72,200.3,76,17.03,146.4,128,6.59,4.5,6,1.22,1,yes
NM,94,510,no,no,0,197.2,131,33.52,149.8,65,12.73,219.8,59,9.89,8.8,3,2.38,1,no
DE,117,415,no,yes,14,145.6,87,24.75,255.9,109,21.75,198.2,122,8.92,6.5,1,1.76,3,no
OK,82,510,no,no,0,196.0,100,33.32,152.5,112,12.96,174.8,116,7.87,7.0,8,1.89,1,no
OK,77,415,no,no,0,125.7,87,21.37,229.6,101,19.52,223.6,75,10.06,14.3,2,3.86,3,no
KY,138,415,no,no,0,136.5,138,23.21,165.4,59,14.06,177.0,107,7.96,10.4,2,2.81,2,no
FL,77,510,no,no,0,137.8,98,23.43,276.5,83,23.5,224.8,95,10.12,10.7,6,2.89,5,no
IN,154,510,no,no,0,152.6,53,25.94,204.2,109,17.36,181.1,110,8.15,10.0,4,2.7,3,no
ND,82,510,yes,no,0,266.3,84,45.27,179.9,91,15.29,157.5,55,7.09,9.3,3,2.51,3,yes
TX,25,415,no,no,0,144.4,104,24.55,212.3,70,18.05,240.5,116,10.82,11.4,6,3.08,3,no
GA,68,408,no,no,0,174.1,97,29.6,302.1,90,25.68,196.9,104,8.86,10.8,5,2.92,3,no
MT,76,415,no,no,0,131.2,116,22.3,219.4,111,18.65,224.2,99,10.09,10.0,1,2.7,6,no
ND,92,415,no,no,0,261.8,128,44.51,142.5,107,12.11,200.0,116,9.0,7.8,3,2.11,1,no
VT,160,408,yes,no,0,211.9,108,36.02,153.1,116,13.01,184.6,116,8.31,11.6,1,3.13,2,no
IN,96,510,no,no,0,208.4,106,35.43,218.5,109,18.57,231.0,105,10.39,11.1,4,3.0,2,no
VA,115,415,no,yes,9,199.5,107,33.91,181.6,106,15.44,174.9,118,7.87,13.7,7,3.7,1,no
NH,82,408,no,no,0,140.5,119,23.89,186.2,103,15.83,192.6,99,8.67,14.6,3,3.94,4,no
KY,88,408,no,no,0,251.2,108,42.7,246.9,95,20.99,232.8,132,10.48,13.9,2,3.75,0,yes
WI,1,408,no,no,0,192.9,79,32.79,143.9,75,12.23,203.8,126,9.17,10.9,2,2.94,1,yes
IL,136,415,no,yes,9,185.2,98,31.48,156.3,92,13.29,232.0,114,10.44,13.3,2,3.59,5,no
MO,119,415,no,yes,7,263.7,86,44.83,207.7,128,17.65,224.4,88,10.1,7.9,5,2.13,0,no
SC,35,408,no,no,0,227.0,115,38.59,166.6,124,14.16,190.7,85,8.58,11.1,4,3.0,1,no
CT,55,415,no,no,0,188.0,136,31.96,136.7,154,11.62,213.1,77,9.59,14.6,1,3.94,5,no
GA,71,408,no,yes,16,168.3,75,28.61,258.2,118,21.95,197.5,97,8.89,11.4,9,3.08,1,no
OH,109,510,no,no,0,199.2,126,33.86,122.4,91,10.4,182.2,83,8.2,5.5,5,1.49,3,no
NH,142,510,no,no,0,147.2,123,25.02,231.9,111,19.71,221.5,87,9.97,15.6,6,4.21,0,no
NV,54,510,no,no,0,183.8,125,31.25,235.1,110,19.98,197.2,69,8.87,8.7,2,2.35,0,no
RI,113,510,no,no,0,189.5,109,32.22,234.5,133,19.93,166.0,91,7.47,13.0,3,3.51,1,no
KS,84,408,yes,no,0,219.4,102,37.3,126.4,115,10.74,207.5,110,9.34,21.8,1,5.89,3,yes
CA,147,408,no,no,0,208.9,144,35.51,201.1,91,17.09,161.7,92,7.28,6.7,5,1.81,1,no
KS,78,408,yes,no,0,200.3,103,34.05,173.7,142,14.76,294.4,99,13.25,7.0,2,1.89,1,no
SC,92,408,no,yes,11,185.1,92,31.47,180.7,100,15.36,166.3,77,7.48,2.2,3,0.59,0,no
MI,58,408,no,no,0,242.5,104,41.23,226.4,87,19.24,245.0,94,11.03,10.8,3,2.92,0,no
MT,86,408,no,no,0,147.2,76,25.02,191.2,82,16.25,200.4,100,9.02,8.1,2,2.19,6,no
MD,170,510,no,yes,6,89.9,139,15.28,209.0,100,17.77,185.8,120,8.36,7.6,8,2.05,2,no
AL,104,510,yes,yes,5,184.1,94,31.3,182.2,115,15.49,134.9,100,6.07,11.7,0,3.16,2,yes
MA,74,510,no,yes,8,193.8,101,32.95,177.0,115,15.05,190.2,130,8.56,7.1,2,1.92,0,no
MT,104,415,no,no,0,135.2,87,22.98,249.0,100,21.17,160.5,75,7.22,6.0,7,1.62,2,no
PA,112,408,no,no,0,212.7,155,36.16,235.4,76,20.01,173.1,145,7.79,9.4,4,2.54,1,no
TX,68,408,no,no,0,148.1,74,25.18,186.8,93,15.88,167.2,78,7.52,11.0,1,2.97,1,no
IN,134,408,no,yes,13,188.1,99,31.98,232.7,146,19.78,151.0,97,6.79,6.5,1,1.76,1,no
IL,31,408,no,yes,8,152.2,92,25.87,184.7,73,15.7,166.8,119,7.51,11.5,4,3.11,1,no
DE,154,510,yes,no,0,217.5,112,36.98,149.4,92,12.7,268.2,122,12.07,5.4,4,1.46,1,no
CT,1,415,no,yes,11,173.1,88,29.43,280.3,129,23.83,237.2,70,10.67,12.6,7,3.4,2,no
WA,129,408,no,no,0,147.5,99,25.08,181.7,138,15.44,210.9,101,9.49,8.5,0,2.29,1,no
GA,105,415,no,no,0,197.9,70,33.64,216.1,88,18.37,135.1,84,6.08,11.5,4,3.11,1,no
RI,68,408,no,no,0,254.2,83,43.21,190.6,76,16.2,217.8,94,9.8,9.1,5,2.46,0,no
IN,33,415,no,no,0,142.5,99,24.23,116.9,129,9.94,262.4,120,11.81,11.2,6,3.02,1,no
MD,74,510,no,no,0,219.2,86,37.26,202.7,106,17.23,130.0,88,5.85,10.9,5,2.94,2,no
KS,86,415,no,yes,10,124.2,127,21.11,210.5,90,17.89,98.2,77,4.42,12.0,2,3.24,3,no
DC,104,510,no,yes,7,199.2,110,33.86,174.0,89,14.79,162.5,95,7.31,16.3,4,4.4,1,no
ND,69,415,no,no,0,166.1,106,28.24,181.2,102,15.4,220.1,119,9.9,12.4,1,3.35,0,no
MI,152,415,no,yes,9,123.7,89,21.03,170.0,105,14.45,195.3,89,8.79,8.6,4,2.32,1,no
DE,123,510,no,yes,9,205.4,110,34.92,231.0,89,19.64,207.0,111,9.31,9.5,3,2.57,1,no
NH,90,415,yes,no,0,222.3,110,37.79,163.2,119,13.87,239.5,77,10.78,7.5,6,2.03,2,yes
DC,50,415,no,no,0,192.5,120,32.73,225.0,113,19.12,197.7,91,8.9,10.9,5,2.94,0,no
AK,104,408,no,no,0,166.9,108,28.37,209.3,115,17.79,218.8,114,9.85,14.1,4,3.81,1,no
WA,105,415,no,yes,7,145.9,95,24.8,168.2,91,14.3,203.0,64,9.13,11.9,8,3.21,0,no
WY,97,510,no,no,0,198.0,95,33.66,197.7,100,16.8,203.7,88,9.17,11.2,3,3.02,1,no
CO,44,415,no,no,0,173.0,84,29.41,240.1,131,20.41,187.4,78,8.43,15.0,2,4.05,2,no
NE,45,510,no,no,0,182.1,103,30.96,195.1,81,16.58,208.4,97,9.38,12.9,4,3.48,0,no
MA,87,408,yes,no,0,109.4,107,18.6,195.0,111,16.58,230.9,99,10.39,11.3,3,3.05,0,no
CO,140,415,no,no,0,190.0,113,32.3,276.3,98,23.49,200.8,94,9.04,8.7,5,2.35,5,no
CT,114,415,no,no,0,171.4,74,29.14,142.9,115,12.15,208.5,104,9.38,9.7,3,2.62,2,no
TX,73,408,no,no,0,198.4,135,33.73,180.3,119,15.33,278.3,131,12.52,8.8,5,2.38,1,no
PA,59,408,no,no,0,185.4,127,31.52,132.5,79,11.26,205.5,92,9.25,10.6,5,2.86,0,no
WA,145,510,yes,no,0,216.4,125,36.79,211.1,76,17.94,153.3,68,6.9,12.0,2,3.24,3,yes
DC,88,415,no,no,0,197.2,114,33.52,181.2,118,15.4,155.5,110,7.0,11.7,2,3.16,1,no
NM,86,415,no,yes,9,121.3,109,20.62,165.2,125,14.04,217.6,116,9.79,7.7,3,2.08,2,no
NH,41,415,no,no,0,216.4,91,36.79,153.1,80,13.01,189.3,81,8.52,12.2,4,3.29,2,no
NY,83,408,no,no,0,109.2,100,18.56,279.5,104,23.76,192.3,43,8.65,6.7,7,1.81,0,no
KY,149,408,no,no,0,163.5,121,27.8,174.5,97,14.83,179.5,99,8.08,10.2,2,2.75,2,no
ND,125,415,no,no,0,171.5,82,29.16,193.5,65,16.45,204.0,61,9.18,10.3,4,2.78,2,no
IN,116,510,no,yes,7,196.2,112,33.35,170.8,77,14.52,192.6,101,8.67,10.8,3,2.92,3,no
HI,55,408,no,no,0,181.5,79,30.86,220.5,85,18.74,188.8,109,8.5,11.9,4,3.21,1,no
NE,88,510,no,yes,13,143.4,105,24.38,225.0,124,19.12,180.0,110,8.1,17.0,0,4.59,1,no
WA,99,510,yes,yes,4,233.4,110,39.68,195.1,115,16.58,210.6,100,9.48,7.8,3,2.11,1,no
MD,114,408,no,yes,10,166.1,135,28.24,211.5,127,17.98,187.5,73,8.44,11.1,6,3.0,2,no
MT,53,408,no,yes,3,147.5,103,25.08,201.7,137,17.14,135.7,79,6.11,6.8,3,1.84,0,no
UT,49,408,no,no,0,221.4,134,37.64,199.7,99,16.97,254.9,80,11.47,15.2,3,4.1,2,yes
UT,41,408,no,no,0,184.4,60,31.35,191.7,108,16.29,181.8,78,8.18,12.5,1,3.38,1,no
DC,60,408,no,yes,11,139.8,76,23.77,195.7,89,16.63,232.8,55,10.48,5.7,4,1.54,2,no
KY,42,510,no,no,0,155.5,61,26.44,184.6,103,15.69,219.9,98,9.9,10.9,4,2.94,2,no
KY,66,415,no,yes,7,147.4,88,25.06,179.0,82,15.22,151.7,98,6.83,7.1,5,1.92,0,no
NY,91,408,no,no,0,171.5,89,29.16,175.2,90,14.89,181.4,90,8.16,14.3,6,3.86,2,no
UT,78,408,no,no,0,236.0,110,40.12,226.0,108,19.21,179.2,113,8.06,13.5,4,3.65,0,yes
